"Date","Price","Open","High","Low","Vol.","Change %"
"28-03-2024","67,892.00","67,278.00","68,037.00","67,201.00","0.57K","1.14%"
"27-03-2024","67,130.00","66,883.00","67,185.00","66,695.00","0.72K","0.30%"
"26-03-2024","66,930.00","66,885.00","67,320.00","66,632.00","0.62K","-0.14%"
"25-03-2024","67,024.00","66,978.00","67,069.00","66,978.00","0.00K","0.29%"
"22-03-2024","66,827.00","66,952.00","67,000.00","66,662.00","0.02K","-0.23%"
"21-03-2024","66,984.00","67,312.00","67,711.00","66,761.00","0.06K","0.86%"
"20-03-2024","66,414.00","66,394.00","66,634.00","66,303.00","0.01K","-0.08%"
"19-03-2024","66,464.00","66,464.00","66,464.00","66,464.00","","0.18%"
"18-03-2024","66,346.00","66,346.00","66,346.00","66,346.00","","0.00%"
"15-03-2024","66,346.00","66,443.00","66,443.00","66,277.00","0.01K","0.13%"
"14-03-2024","66,262.00","66,301.00","66,301.00","66,228.00","0.00K","-0.31%"
"13-03-2024","66,471.00","66,250.00","66,681.00","66,250.00","0.00K","0.16%"
"12-03-2024","66,364.00","66,640.00","66,640.00","66,212.00","0.01K","-0.64%"
"11-03-2024","66,789.00","66,780.00","66,842.00","66,730.00","0.01K","0.05%"
"08-03-2024","66,756.00","66,423.00","67,150.00","66,423.00","0.01K","0.96%"
"07-03-2024","66,124.00","66,033.00","66,225.00","65,905.00","0.01K","0.39%"
"06-03-2024","65,865.00","65,865.00","65,865.00","65,865.00","0.00K","0.48%"
"05-03-2024","65,549.00","65,513.00","65,590.00","65,508.00","0.00K","1.83%"
"04-03-2024","64,373.00","64,909.00","64,909.00","64,909.00","","1.67%"
"01-03-2024","63,317.00","62,942.00","62,965.00","62,900.00","0.03K","0.55%"
"29-02-2024","62,973.00","62,959.00","62,959.00","62,959.00","","-0.05%"
"28-02-2024","63,005.00","63,005.00","63,005.00","63,005.00","","0.15%"
"27-02-2024","62,911.00","62,911.00","62,911.00","62,911.00","","-0.27%"
"26-02-2024","63,079.00","63,079.00","63,079.00","63,079.00","","0.45%"
"23-02-2024","62,797.00","62,797.00","62,797.00","62,797.00","","-0.08%"
"22-02-2024","62,850.00","62,850.00","62,850.00","62,850.00","","-0.12%"
"21-02-2024","62,925.00","62,925.00","62,925.00","62,925.00","","0.22%"
"20-02-2024","62,786.00","62,786.00","62,786.00","62,786.00","","0.32%"
"19-02-2024","62,584.00","62,584.00","62,584.00","62,584.00","","0.33%"
"16-02-2024","62,378.00","62,378.00","62,378.00","62,378.00","","0.34%"
"15-02-2024","62,169.00","62,169.00","62,169.00","62,169.00","","-0.07%"
"14-02-2024","62,210.00","62,210.00","62,210.00","62,210.00","","-0.91%"
"13-02-2024","62,782.00","62,782.00","62,782.00","62,782.00","","-0.17%"
"12-02-2024","62,886.00","62,886.00","62,886.00","62,886.00","","-0.35%"
"09-02-2024","63,107.00","63,107.00","63,107.00","63,107.00","","-0.23%"
"08-02-2024","63,252.00","63,252.00","63,252.00","63,252.00","","-0.02%"
"07-02-2024","63,264.00","63,264.00","63,264.00","63,264.00","","0.00%"
